species_id,species_name,mean_delta,abs_mean_delta,max_abs_delta
0552,Quercus alba L.,0.08582086644025104,0.14436171370209047,0.3910647730322605
0114,Cantleya corniculata (Becc.) R.A.Howard,0.03173889044270268,0.13984066540581955,0.418182257591578
0554,Quercus robur L.,0.07417284977498327,0.12991323268538377,0.3807242629763041
0236,Dipterocarpus C.F.Gaertn.,0.014046883587466221,0.11467201886345646,0.2680404326136061
0181,Cotylelobium Pierre,0.014688217851804759,0.10108216121068234,0.40513598078699764
0095,Brosimum alicastrum Swartz,-0.015067741614550635,0.09730088307682169,0.28591096553952855
0313,Grevillea robusta A.Cunn. ex R.Br.,0.020239532719390798,0.08812833859318936,0.29406017677407503
0606,Swietenia humilis Zucc.,-0.007132114722430792,0.08615707535203013,0.25550194110135815
0418,Mansonia altissima (A. Chev.) A. Chev.,-0.0030157669390833454,0.07888385454569512,0.3205795842132606
0207,Dalbergia nigra (Vell.) Allemão ex Benth.,0.007859757864062502,0.07750293690204973,0.2642081208473013
0033,Anacardium excelsum (Bertero & Balb. ex Kunth) Skeels,0.021494425750184065,0.0766300432889386,0.2871044063617803
0621,Tectona grandis L.,0.016442923104046485,0.07662907504089002,0.2623880516817635
0553,Quercus petraea (Matt.) Liebl.,0.04597885449640554,0.07382598265011793,0.22536618934865282
0066,Aucoumea klaineana Pierre,-0.0035974180579406226,0.07039330356453136,0.27227040745047726
0006,Acer platanoides L.,-0.025035439078283143,0.06984554888565878,0.39349912977697266
0243,Dracontomelon dao (Blanco) Merr. & Rolfe,-0.0015713437738502161,0.06929611218523873,0.3603506650601594
0678,Albizia ferruginea (Guill. & Perr.) Benth.,0.018012841844924105,0.0686665651425335,0.25550194110135815
0085,Bobgunnia fistuloides (Harms) J.H. Kirkbr. & Wiersema,0.0189272153359016,0.06718992036397779,0.21349243481279523
0297,Fraxinus mandshurica Rupr.,-0.0008493651373337398,0.06577624370683334,0.21349243481279523
0070,Bagassa guianensis Aubl.,0.0036608042043927355,0.06503760685204996,0.23290104367218567
0158,"Chlorocardium rodiei (R.H.Schomb.) Rohwer, H.G.Richt. & van der Werff",0.014213207608589146,0.06324517482367754,0.34857612924324466
0035,Anacardium giganteum Hancock ex Engl.,0.017329573605785856,0.06264831735387921,0.2871044063617803
0045,Anopyxis klaineana (Pierre) Engl.,0.0050629843764494345,0.0586743136052343,0.30855172303227385
0096,Brosimum guianense (Aubl.) Huber ex Ducke,0.005286898564844305,0.05842473118609784,0.24409755332750505
0326,Guibourtia ehie (A. Chev.) J. Léonard,0.016461204762771225,0.057725468055983095,0.2742735835500271
0366,Juglans regia L.,0.002449244472394888,0.0575392005632105,0.2929510314746936
0071,Baikiaea plurijuga Harms,-0.0008124474582556655,0.05715831922005166,0.22333221389504865
0296,Fraxinus ornus L.,0.007628518053851482,0.056548729998739757,0.20521076917019454
0030,Amburana cearensis (Allemão) A.C.Sm.,0.01658583974762085,0.056194458478186264,0.22005211436817163
0353,Intsia Thouars,0.006144369196200046,0.05563225688482127,0.21439655803874158
0072,Baillonella toxisperma Pierre,-0.0053427224529738445,0.05518572886724705,0.3807242629763041
0258,Entandrophragma cylindricum (Sprague) Sprague,0.011070358914853959,0.05470684002726314,0.280119918038336
0293,Fraxinus americana L.,-0.004605606992618642,0.05403701991102301,0.1960636389774757
0195,Ctenolophon parvifolius Oliv.,0.004738506919076953,0.05317813005057238,0.30043348862828845
0324,Guibourtia pellegriniana J.Léonard,0.031539457136077545,0.052804688052577646,0.17325976530283094
0372,Khaya ivorensis A.Chev.,0.011012920674946478,0.052362876410047034,0.15996408335573953
0239,Dipteryx odorata (Aubl.) Forsyth f.,0.012865707390483148,0.05214467261956105,0.40513598078699764
0093,Brachystegia laurentii (De Wild.) Louis ex J.Léonard,0.014915207266141085,0.05190882088997913,0.15941418272768237
0331,Heritiera utilis (Sprague) Sprague,-0.006332386952957761,0.051284247438213984,0.2851928067876513
0256,Entandrophragma angolense (Welw.) Panshin,0.02600245263008003,0.05100625440095806,0.15789666005314912
0157,Ceriops tagal (Perr.) C.B. Robinson,7.242046210903135e-05,0.05084416294588701,0.32005074524232535
0371,Khaya grandifoliola C.DC.,0.007068109262130281,0.050699182564537905,0.2109649576608172
0080,Betula papyrifera Marshall,-0.0016290327050413741,0.05019595752405933,0.2411013766182566
0648,Triplochiton scleroxylon K. Schum.,0.015211775389913734,0.049839117655960684,0.30705769242780834
0041,Aniba rosodora Ducke,0.005707441344548523,0.04977534638691356,0.28074944233565857
0115,Carapa guianensis Aubl.,0.00823377134153102,0.0495110120365477,0.2253686799015564
0073,Balfourodendron riedelianum (Engl.) Engl.,0.004751556583321686,0.04817727637814567,0.21450375464512017
0608,Swietenia mahagoni (L.) Jacq.,0.00797412689077185,0.046760574135518415,0.1730735088031055
0214,Daniellia thurifera Benn.,0.011427443935649971,0.046724937447408646,0.17513489617320677
0302,Gilbertiodendron preussii (Harms) J.Léonard,0.0139461911810553,0.04667848356398505,0.18947703110042818
0147,Ceiba pentandra (L.) Gaertn.,0.0075833218927239925,0.04609972668680127,0.23621741761980852
0294,Fraxinus excelsior L.,0.021765945240264,0.046083578859582225,0.20407419366483115
0295,Fraxinus nigra Marshall,0.005155743122073374,0.0460407374067194,0.2654137751914222
0425,Mezilaurus ita-uba (Meisn.) Taub. ex Mez,0.0052414741214324495,0.04594203608135123,0.20711770252556028
0367,Juglans nigra L.,0.007739469596447406,0.04592484065283085,0.28831962798058375
0607,Swietenia macrophylla King,0.013211926130423107,0.04579401124773482,0.19305487065038873
0325,Guibourtia tessmannii (Harms) J.Léonard,0.002612402784208517,0.045684726562012855,0.25748867075093174
0461,Ochroma pyramidale (Cav. ex Lam.) Urb.,0.0046659870628086705,0.04540151218517861,0.418182257591578
0613,Tabebuia rosea (Bert.) DC.,0.016078938979798275,0.04517457585660641,0.2163946755981867
0081,Betula pendula Roth,0.005409942644063551,0.045106117694338546,0.22447034541022648
0530,Pterocarpus soyauxii Taub.,9.212713966759817e-05,0.04474298672932647,0.12118140079676243
0238,Dipterocarpus kerrii King,0.001165777229090015,0.04449244736649483,0.2407587517087889
0301,Gilbertiodendron dewevrei (De Wild.) J.Léonard,0.011095469193218823,0.044400677392293864,0.18380470342806432
0354,Intsia bijuga (Colebr.) Kuntze,0.013462798099576062,0.04435823835357923,0.24187473377492513
0270,Erythrophleum suaveolens (Guill. & Perr.) Brenan,0.034187375361557415,0.0439631741394131,0.16322859714209348
0091,Brachystegia Benth.,0.01559092816249744,0.0433858891097741,0.16715517538889424
0007,Acer pseudoplatanus L.,0.01483807800607491,0.04316206974414978,0.3014202809729144
0375,Koompassia malaccensis Maing.,0.02071172712069706,0.04302956665123693,0.17587550571081084
0542,Pycnanthus angolensis (Welw.) Warb.,0.018859701594876817,0.043015820037668705,0.28422837943801016
0323,Guibourtia demeusei (Harms) J.Léonard,-0.004085869119733433,0.04301508744214555,0.36189437775416233
0244,Dryobalanops C.F.Gaertn.,0.012990960190206955,0.0429361578045273,0.2294129109303309
0399,Lovoa trichilioides Harms,0.009182026122455493,0.04203437020493588,0.2250260862489183
0009,Leptolobium Vogel,0.013113048643233817,0.04190856313711876,0.1885807747276338
0245,Dryobalanops aromatica C.F.Gaertn.,0.009825278998784527,0.041753280713148155,0.211752689471165
0092,Brachystegia cynometroides Harms,0.013976799437375488,0.041475106220174585,0.16797597479269044
0034,Anacardium L.,0.007421690409876796,0.041395546757970254,0.2161761307106329
0625,Terminalia superba Engl.& Diels,0.0253145455227517,0.04043652579592206,0.18824796139751343
0479,Peltogyne catingae Ducke,0.008465642606523799,0.040216737014311,0.1793448702201058
0003,Acacia mangium Willd.,-0.0012451538472874777,0.04000420894497693,0.191349493612324
0478,Peltogyne Vogel,0.00784428470097232,0.03985946580302237,0.18947703110042818
0550,Quercus mongolica Fisch. ex Ledeb.,0.00963247743479026,0.038535174977503445,0.3910647730322605
0430,Milicia excelsa (Welw.) C.C. Berg,0.03020168092725027,0.0381323699688904,0.164269893632757
0679,Aningeria Aubrév. & Pellegr.,0.002539295940661606,0.036739927174369816,0.2576308997193554
0269,Erythrophleum ivorense A. Chev,0.022526683754874887,0.035634989983773346,0.14814546468207324
0318,Leplaea cedrata (A.Chev.) E.J.M.Koenen & J.J.de Wilde,-0.017451583185342588,0.035336761793101974,0.14458463330551963
0380,Libidibia paraguariensis (D.Parodi) G.P.Lewis,0.012159427480312821,0.03466100635893831,0.17550328485547184
0259,Entandrophragma utile (Dawe & Sprague) Sprague,0.012160175082499726,0.03357447242738398,0.15342232636067243
0426,Microberlinia brazzavillensis A. Chev.,0.017024551558937822,0.033192445167503214,0.12249918935755666
0130,Castanea sativa Mill.,0.00024078815550465944,0.03216382129344457,0.2491937574049224
0431,Millettia laurentii De Wild.,-0.0032622545047364167,0.030669387219175122,0.08612565150097073
0480,Peltogyne mexicana Martínez,0.008779017763308637,0.030173734234878534,0.14520992855211923
0129,Castanea crenata Siebold & Zucc.,0.011436597302732183,0.027945838131448807,0.09521675555770392
0257,Entandrophragma candollei Harms,0.01209100139247158,0.027758251428675305,0.10736666789866678
0541,Pterygota macrocarpa K. Schum.,0.002270582813098952,0.027457716725761267,0.15830457388667396
0396,Lophira alata Banks ex C.F.Gaertn.,0.0033984590936926105,0.02521646583800684,0.10679150755486044
