block,pearson,spearman,p_value,n_species,n_permutations
combined,0.9284983730840038,0.9216052325483046,0.000999000999000999,95,1000
B1,0.9060268045785944,0.9098108469922274,0.000999000999000999,95,1000
B2,0.8486635324143941,0.8373682526500076,0.000999000999000999,95,1000
B3,0.9168681180546816,0.9105775601741127,0.000999000999000999,95,1000
B4,0.9010832231968583,0.8949510140601521,0.000999000999000999,95,1000
