epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,1850.49,0.84687,2.28344,0.9844,0.94806,0,0.47033,0.40967,0.35713,0.22831,0.40552,0.34576,0.26984,0.13816,0.80212,2.25086,0.98177,0.9557,0,0.000462786,0.000462786,0.000462786
29,1915.72,0.85369,2.31683,1.00275,0.95282,0,0.45014,0.43363,0.36304,0.22628,0.37975,0.35324,0.26422,0.1339,0.81725,2.27455,0.9823,0.95401,0,0.000456212,0.000456212,0.000456212
30,1981.9,0.83225,2.2336,0.97053,0.93806,0,0.51097,0.40745,0.38517,0.23742,0.45706,0.33539,0.29992,0.15199,0.7913,2.22567,0.93647,0.94739,0,0.000449464,0.000449464,0.000449464
31,2047.93,0.82806,2.25857,0.96521,0.94193,0,0.46303,0.40943,0.36187,0.2331,0.40506,0.34784,0.28251,0.14574,0.79207,2.18974,0.94834,0.94669,0,0.00044255,0.00044255,0.00044255
32,2114.51,0.83682,2.23748,0.95784,0.94151,0,0.48521,0.41961,0.36434,0.22911,0.42021,0.36132,0.28113,0.14524,0.79841,2.17256,0.9464,0.94933,0,0.000435477,0.000435477,0.000435477
33,2180.39,0.82446,2.16668,0.94368,0.94357,0,0.47507,0.41082,0.36739,0.23091,0.39454,0.35371,0.27363,0.13456,0.79828,2.21036,0.94488,0.95006,0,0.00042825,0.00042825,0.00042825
34,2246.04,0.81618,2.20246,0.93856,0.93896,0,0.48401,0.43939,0.3918,0.23996,0.43822,0.35809,0.29744,0.14799,0.8001,2.18537,0.92411,0.94724,0,0.000420878,0.000420878,0.000420878
35,2312.48,0.83657,2.27087,0.94354,0.93737,0,0.50543,0.39807,0.38498,0.24233,0.41539,0.35892,0.29561,0.14734,0.80298,2.19489,0.93172,0.94715,0,0.000413368,0.000413368,0.000413368
36,2379.73,0.83214,2.22731,0.94297,0.9377,0,0.50323,0.40856,0.38134,0.24034,0.42291,0.38032,0.30208,0.1515,0.78704,2.19289,0.95019,0.94307,0,0.000405727,0.000405727,0.000405727
37,2445.93,0.8299,2.19205,0.93433,0.93934,0,0.4916,0.41196,0.38106,0.24034,0.44587,0.34759,0.29656,0.15024,0.79226,2.19921,0.92034,0.94836,0,0.000397963,0.000397963,0.000397963
38,2512.77,0.81383,2.16639,0.91074,0.93435,0,0.49859,0.41441,0.3692,0.23759,0.43527,0.35097,0.28779,0.14498,0.7707,2.17475,0.91066,0.93856,0,0.000390083,0.000390083,0.000390083
39,2579.73,0.81018,2.19699,0.90995,0.93187,0,0.51259,0.41672,0.37809,0.2416,0.44032,0.34287,0.28463,0.14925,0.78873,2.19515,0.92932,0.94146,0,0.000382095,0.000382095,0.000382095
40,2646.67,0.82454,2.21706,0.91376,0.93381,0,0.45142,0.43788,0.37312,0.23746,0.43082,0.34179,0.28836,0.14857,0.78591,2.16727,0.93415,0.93946,0,0.000374007,0.000374007,0.000374007
41,2711.97,0.82394,2.21466,0.91682,0.93795,0,0.51161,0.42232,0.39928,0.25638,0.46098,0.35589,0.30902,0.16066,0.77949,2.16236,0.89628,0.94137,0,0.000365828,0.000365828,0.000365828
