species_id,species_name,rank,neighbor_id,neighbor_name,distance
0066,Aucoumea klaineana Pierre,3,0236,Dipterocarpus C.F.Gaertn.,0.2791693452662528
0066,Aucoumea klaineana Pierre,4,0238,Dipterocarpus kerrii King,0.2802808123956587
0066,Aucoumea klaineana Pierre,5,0295,Fraxinus nigra Marshall,0.2828591840683727
0070,Bagassa guianensis Aubl.,1,0035,Anacardium giganteum Hancock ex Engl.,0.3302407417670344
0070,Bagassa guianensis Aubl.,2,0243,Dracontomelon dao (Blanco) Merr. & Rolfe,0.3892604951919594
0070,Bagassa guianensis Aubl.,3,0033,Anacardium excelsum (Bertero & Balb. ex Kunth) Skeels,0.39121249094956534
0070,Bagassa guianensis Aubl.,4,0095,Brosimum alicastrum Swartz,0.46321127996939193
0070,Bagassa guianensis Aubl.,5,0147,Ceiba pentandra (L.) Gaertn.,0.46416466878426516
0071,Baikiaea plurijuga Harms,1,0425,Mezilaurus ita-uba (Meisn.) Taub. ex Mez,0.29437534294459833
0071,Baikiaea plurijuga Harms,2,0648,Triplochiton scleroxylon K. Schum.,0.3998897305084547
0071,Baikiaea plurijuga Harms,3,0066,Aucoumea klaineana Pierre,0.4117341565350371
0071,Baikiaea plurijuga Harms,4,0195,Ctenolophon parvifolius Oliv.,0.4228408482924303
0071,Baikiaea plurijuga Harms,5,0367,Juglans nigra L.,0.43956334654318907
0072,Baillonella toxisperma Pierre,1,0081,Betula pendula Roth,0.3573329474320145
0072,Baillonella toxisperma Pierre,2,0080,Betula papyrifera Marshall,0.47955046363047865
0072,Baillonella toxisperma Pierre,3,0648,Triplochiton scleroxylon K. Schum.,0.5043456066464546
0072,Baillonella toxisperma Pierre,4,0367,Juglans nigra L.,0.5053158234132133
0072,Baillonella toxisperma Pierre,5,0066,Aucoumea klaineana Pierre,0.5085704852591637
0073,Balfourodendron riedelianum (Engl.) Engl.,1,0608,Swietenia mahagoni (L.) Jacq.,0.4086199574347986
0073,Balfourodendron riedelianum (Engl.) Engl.,2,0621,Tectona grandis L.,0.48801449215456477
0073,Balfourodendron riedelianum (Engl.) Engl.,3,0214,Daniellia thurifera Benn.,0.520665878877118
0073,Balfourodendron riedelianum (Engl.) Engl.,4,0115,Carapa guianensis Aubl.,0.5285144182802348
0073,Balfourodendron riedelianum (Engl.) Engl.,5,0080,Betula papyrifera Marshall,0.5467031847573587
0080,Betula papyrifera Marshall,1,0081,Betula pendula Roth,0.18602929240666016
0080,Betula papyrifera Marshall,2,0366,Juglans regia L.,0.21364056602569412
0080,Betula papyrifera Marshall,3,0041,Aniba rosodora Ducke,0.24127423363502237
0080,Betula papyrifera Marshall,4,0313,Grevillea robusta A.Cunn. ex R.Br.,0.30571487208360126
0080,Betula papyrifera Marshall,5,0418,Mansonia altissima (A. Chev.) A. Chev.,0.31838567280892405
0081,Betula pendula Roth,1,0080,Betula papyrifera Marshall,0.18602929240666016
0081,Betula pendula Roth,2,0072,Baillonella toxisperma Pierre,0.3573329474320145
0081,Betula pendula Roth,3,0007,Acer pseudoplatanus L.,0.4046293642238234
0081,Betula pendula Roth,4,0679,Aningeria Aubrév. & Pellegr.,0.43460577615361773
0081,Betula pendula Roth,5,0366,Juglans regia L.,0.44014607925940497
0085,Bobgunnia fistuloides (Harms) J.H. Kirkbr. & Wiersema,1,0371,Khaya grandifoliola C.DC.,0.48440896786087795
