species_a,species_a_name,species_b,species_b_name,inter_distance,intra_a,intra_b,contrast
0041,Aniba rosodora Ducke,0071,Baikiaea plurijuga Harms,0.5752303015881755,0.03206859773287161,0.6624630676293845,-0.087232766041209
0093,Brachystegia laurentii (De Wild.) Louis ex J.Léonard,0478,Peltogyne Vogel,0.19814009450696282,0.285314769922707,0.11335898594650924,-0.08717467541574417
0033,Anacardium excelsum (Bertero & Balb. ex Kunth) Skeels,0095,Brosimum alicastrum Swartz,0.29021986066049743,0.1612983471755794,0.373588888328799,-0.08336902766830157
0302,Gilbertiodendron preussii (Harms) J.Léonard,0354,Intsia bijuga (Colebr.) Kuntze,0.24714151857762703,0.21477324086718907,0.3278225854948488,-0.08068106691722174
0238,Dipterocarpus kerrii King,0243,Dracontomelon dao (Blanco) Merr. & Rolfe,0.3042908437052446,0.047350069644523325,0.38265490650255146,-0.07836406279730684
0091,Brachystegia Benth.,0302,Gilbertiodendron preussii (Harms) J.Léonard,0.3108429904957003,0.38877160503932806,0.21477324086718907,-0.07792861454362776
0003,Acacia mangium Willd.,0030,Amburana cearensis (Allemão) A.C.Sm.,0.1734357867096192,0.24987335040256672,0.20353506212870529,-0.07643756369294752
0236,Dipterocarpus C.F.Gaertn.,0243,Dracontomelon dao (Blanco) Merr. & Rolfe,0.3110031415373061,0.06735710381385199,0.38265490650255146,-0.07165176496524533
0323,Guibourtia demeusei (Harms) J.Léonard,0326,Guibourtia ehie (A. Chev.) J. Léonard,0.19618668061649297,0.2237088813376544,0.267153359759205,-0.07096667914271204
0301,Gilbertiodendron dewevrei (De Wild.) J.Léonard,0302,Gilbertiodendron preussii (Harms) J.Léonard,0.1463192666978599,0.17033855113561178,0.21477324086718907,-0.06845397416932916
0326,Guibourtia ehie (A. Chev.) J. Léonard,0353,Intsia Thouars,0.29821516944805526,0.267153359759205,0.36502681521580665,-0.0668116457677514
0035,Anacardium giganteum Hancock ex Engl.,0045,Anopyxis klaineana (Pierre) Engl.,0.3003056953423575,0.09952635975102023,0.3666389738639127,-0.06633327852155518
0033,Anacardium excelsum (Bertero & Balb. ex Kunth) Skeels,0071,Baikiaea plurijuga Harms,0.5974318907043945,0.1612983471755794,0.6624630676293845,-0.06503117692498994
0270,Erythrophleum suaveolens (Guill. & Perr.) Brenan,0375,Koompassia malaccensis Maing.,0.30571657659053086,0.37032055479729653,0.08877285430095372,-0.06460397820676567
0293,Fraxinus americana L.,0297,Fraxinus mandshurica Rupr.,0.12293336018153533,0.06673216616943302,0.18720922831157757,-0.06427586813004224
0256,Entandrophragma angolense (Welw.) Panshin,0323,Guibourtia demeusei (Harms) J.Léonard,0.28943115410785925,0.35292642353479126,0.2237088813376544,-0.06349526942693201
0035,Anacardium giganteum Hancock ex Engl.,0095,Brosimum alicastrum Swartz,0.31069561256548867,0.09952635975102023,0.373588888328799,-0.06289327576331033
0071,Baikiaea plurijuga Harms,0371,Khaya grandifoliola C.DC.,0.6062196746981491,0.6624630676293845,0.13346149799545334,-0.05624339293123537
0091,Brachystegia Benth.,0478,Peltogyne Vogel,0.33474084241197677,0.38877160503932806,0.11335898594650924,-0.05403076262735129
0553,Quercus petraea (Matt.) Liebl.,0554,Quercus robur L.,0.06471621806559438,0.1175281560814896,0.040088693572690404,-0.05281193801589522
0236,Dipterocarpus C.F.Gaertn.,0238,Dipterocarpus kerrii King,0.015279224346443798,0.06735710381385199,0.047350069644523325,-0.05207787946740819
0157,Ceriops tagal (Perr.) C.B. Robinson,0313,Grevillea robusta A.Cunn. ex R.Br.,0.3214358890702305,0.3733888439031872,0.12015375617853329,-0.0519529548329567
0071,Baikiaea plurijuga Harms,0295,Fraxinus nigra Marshall,0.61081850040387,0.6624630676293845,0.04872560265571527,-0.05164456722551447
0091,Brachystegia Benth.,0354,Intsia bijuga (Colebr.) Kuntze,0.338961456273016,0.38877160503932806,0.3278225854948488,-0.04981014876631207
0095,Brosimum alicastrum Swartz,0147,Ceiba pentandra (L.) Gaertn.,0.32662315337731584,0.373588888328799,0.09053989442752747,-0.04696573495148315
0071,Baikiaea plurijuga Harms,0236,Dipterocarpus C.F.Gaertn.,0.6156340978304136,0.6624630676293845,0.06735710381385199,-0.04682896979897089
0323,Guibourtia demeusei (Harms) J.Léonard,0353,Intsia Thouars,0.3196906591654867,0.2237088813376544,0.36502681521580665,-0.04533615605031993
0270,Erythrophleum suaveolens (Guill. & Perr.) Brenan,0480,Peltogyne mexicana Martínez,0.32547342728714423,0.37032055479729653,0.1247695132163256,-0.044847127510152296
0092,Brachystegia cynometroides Harms,0301,Gilbertiodendron dewevrei (De Wild.) J.Léonard,0.12668117322364278,0.1445998181282847,0.17033855113561178,-0.043657377911969
0093,Brachystegia laurentii (De Wild.) Louis ex J.Léonard,0302,Gilbertiodendron preussii (Harms) J.Léonard,0.24315872704862873,0.285314769922707,0.21477324086718907,-0.04215604287407826
0080,Betula papyrifera Marshall,0157,Ceriops tagal (Perr.) C.B. Robinson,0.3313874672095309,0.15225687626821854,0.3733888439031872,-0.042001376693656334
