species_a,species_a_name,species_b,species_b_name,inter_distance,intra_a,intra_b,contrast
0238,Dipterocarpus kerrii King,0239,Dipteryx odorata (Aubl.) Forsyth f.,0.32765185699159405,0.03389503762998255,0.4164011395062616,-0.08874928251466757
0041,Aniba rosodora Ducke,0157,Ceriops tagal (Perr.) C.B. Robinson,0.2431085881860415,0.0656528117264906,0.33088565378713025,-0.08777706560108875
0214,Daniellia thurifera Benn.,0606,Swietenia humilis Zucc.,0.31894741031507023,0.4049723941201597,0.03956854200666897,-0.08602498380508944
0045,Anopyxis klaineana (Pierre) Engl.,0114,Cantleya corniculata (Becc.) R.A.Howard,0.49545163737565373,0.42664489754293794,0.5805310376179519,-0.08507940024229815
0115,Carapa guianensis Aubl.,0258,Entandrophragma cylindricum (Sprague) Sprague,0.36793580335844495,0.45301009815803,0.25242647174716004,-0.08507429479958506
0095,Brosimum alicastrum Swartz,0239,Dipteryx odorata (Aubl.) Forsyth f.,0.357581077922036,0.4413660741827014,0.4164011395062616,-0.08378499626066543
0256,Entandrophragma angolense (Welw.) Panshin,0323,Guibourtia demeusei (Harms) J.Léonard,0.27202130339163655,0.319302552831661,0.35528177474147954,-0.08326047134984299
0095,Brosimum alicastrum Swartz,0236,Dipterocarpus C.F.Gaertn.,0.3603709560350902,0.4413660741827014,0.24925766087492005,-0.08099511814761123
0096,Brosimum guianense (Aubl.) Huber ex Ducke,0678,Albizia ferruginea (Guill. & Perr.) Benth.,0.3892871270494105,0.468233813156223,0.35777892083270585,-0.07894668610681249
0302,Gilbertiodendron preussii (Harms) J.Léonard,0354,Intsia bijuga (Colebr.) Kuntze,0.21625032883326611,0.1175198759908919,0.29407015717558727,-0.07781982834232115
0239,Dipteryx odorata (Aubl.) Forsyth f.,0295,Fraxinus nigra Marshall,0.3395205132501475,0.4164011395062616,0.022324164890242817,-0.07688062625611414
0091,Brachystegia Benth.,0302,Gilbertiodendron preussii (Harms) J.Léonard,0.2942240060984599,0.36962746064415636,0.1175198759908919,-0.07540345454569647
0326,Guibourtia ehie (A. Chev.) J. Léonard,0353,Intsia Thouars,0.4121301360642226,0.2984188053844587,0.48641128958703317,-0.07428115352281056
0380,Libidibia paraguariensis (D.Parodi) G.P.Lewis,0480,Peltogyne mexicana Martínez,0.5303024031348138,0.6037041179533492,0.1079574407089981,-0.07340171481853541
0096,Brosimum guianense (Aubl.) Huber ex Ducke,0158,"Chlorocardium rodiei (R.H.Schomb.) Rohwer, H.G.Richt. & van der Werff",0.3958559489995904,0.468233813156223,0.10003326503781798,-0.07237786415663255
0035,Anacardium giganteum Hancock ex Engl.,0236,Dipterocarpus C.F.Gaertn.,0.177491945005532,0.20568448529299813,0.24925766087492005,-0.07176571586938804
0236,Dipterocarpus C.F.Gaertn.,0238,Dipterocarpus kerrii King,0.17783804507573886,0.24925766087492005,0.03389503762998255,-0.07141961579918119
0092,Brachystegia cynometroides Harms,0353,Intsia Thouars,0.415864296354419,0.05008607091450365,0.48641128958703317,-0.07054699323261415
0085,Bobgunnia fistuloides (Harms) J.H. Kirkbr. & Wiersema,0380,Libidibia paraguariensis (D.Parodi) G.P.Lewis,0.5354889537383307,0.4125872589275239,0.6037041179533492,-0.0682151642150185
0093,Brachystegia laurentii (De Wild.) Louis ex J.Léonard,0301,Gilbertiodendron dewevrei (De Wild.) J.Léonard,0.26734040966485606,0.3343633761708376,0.15292725453998418,-0.06702296650598155
0147,Ceiba pentandra (L.) Gaertn.,0239,Dipteryx odorata (Aubl.) Forsyth f.,0.3496765288620115,0.09920852062625649,0.4164011395062616,-0.06672461064425012
0035,Anacardium giganteum Hancock ex Engl.,0243,Dracontomelon dao (Blanco) Merr. & Rolfe,0.30748471661254184,0.20568448529299813,0.36823324125981255,-0.06074852464727071
0195,Ctenolophon parvifolius Oliv.,0239,Dipteryx odorata (Aubl.) Forsyth f.,0.35571709459138545,0.23093942479410615,0.4164011395062616,-0.06068404491487617
0270,Erythrophleum suaveolens (Guill. & Perr.) Brenan,0480,Peltogyne mexicana Martínez,0.3514966024192313,0.4099958913427453,0.1079574407089981,-0.05849928892351397
0093,Brachystegia laurentii (De Wild.) Louis ex J.Léonard,0353,Intsia Thouars,0.4284496189936936,0.3343633761708376,0.48641128958703317,-0.057961670593339565
0157,Ceriops tagal (Perr.) C.B. Robinson,0418,Mansonia altissima (A. Chev.) A. Chev.,0.2731605257812255,0.33088565378713025,0.012409313496156668,-0.057725128005904736
0269,Erythrophleum ivorense A. Chev,0399,Lovoa trichilioides Harms,0.24578261302429824,0.2903085074707726,0.3025441823946234,-0.05676156937032514
0114,Cantleya corniculata (Becc.) R.A.Howard,0425,Mezilaurus ita-uba (Meisn.) Taub. ex Mez,0.5264084395869429,0.5805310376179519,0.2601673546959139,-0.05412259803100894
0324,Guibourtia pellegriniana J.Léonard,0353,Intsia Thouars,0.4331188447165738,0.20301559578579392,0.48641128958703317,-0.053292444870459366
0323,Guibourtia demeusei (Harms) J.Léonard,0324,Guibourtia pellegriniana J.Léonard,0.3060406525141117,0.35528177474147954,0.20301559578579392,-0.04924112222736782
0256,Entandrophragma angolense (Welw.) Panshin,0607,Swietenia macrophylla King,0.271796884482141,0.319302552831661,0.07084689292776884,-0.04750566834951997
0552,Quercus alba L.,0554,Quercus robur L.,0.0729636471932828,0.11942757291818792,0.11024859949584655,-0.046463925724905125
0256,Entandrophragma angolense (Welw.) Panshin,0326,Guibourtia ehie (A. Chev.) J. Léonard,0.27386690565274024,0.319302552831661,0.2984188053844587,-0.045435647178920735
0157,Ceriops tagal (Perr.) C.B. Robinson,0366,Juglans regia L.,0.2884011627386608,0.33088565378713025,0.0161593253050704,-0.042484491048469464
0033,Anacardium excelsum (Bertero & Balb. ex Kunth) Skeels,0035,Anacardium giganteum Hancock ex Engl.,0.16348353658500536,0.07482690115830566,0.20568448529299813,-0.042200948707992764
0256,Entandrophragma angolense (Welw.) Panshin,0608,Swietenia mahagoni (L.) Jacq.,0.27741339106990287,0.319302552831661,0.02812049764059408,-0.04188916176175811
0034,Anacardium L.,0158,"Chlorocardium rodiei (R.H.Schomb.) Rohwer, H.G.Richt. & van der Werff",0.3272682965262954,0.36896207906881207,0.10003326503781798,-0.041693782542516655
0009,Leptolobium Vogel,0380,Libidibia paraguariensis (D.Parodi) G.P.Lewis,0.5621687047244415,0.16101899818656135,0.6037041179533492,-0.04153541322890775
0553,Quercus petraea (Matt.) Liebl.,0554,Quercus robur L.,0.21694441687561564,0.2581276659186852,0.11024859949584655,-0.04118324904306955
0114,Cantleya corniculata (Becc.) R.A.Howard,0239,Dipteryx odorata (Aubl.) Forsyth f.,0.5413044829254658,0.5805310376179519,0.4164011395062616,-0.03922655469248604
0236,Dipterocarpus C.F.Gaertn.,0295,Fraxinus nigra Marshall,0.21010638874902032,0.24925766087492005,0.022324164890242817,-0.03915127212589972
0091,Brachystegia Benth.,0354,Intsia bijuga (Colebr.) Kuntze,0.33106540798162953,0.36962746064415636,0.29407015717558727,-0.038562052662526825
0034,Anacardium L.,0678,Albizia ferruginea (Guill. & Perr.) Benth.,0.3332896746060797,0.36896207906881207,0.35777892083270585,-0.03567240446273234
0003,Acacia mangium Willd.,0625,Terminalia superba Engl.& Diels,0.3278660022457368,0.23412845438956545,0.36271194838005,-0.03484594613431319
0270,Erythrophleum suaveolens (Guill. & Perr.) Brenan,0380,Libidibia paraguariensis (D.Parodi) G.P.Lewis,0.5694993207660148,0.4099958913427453,0.6037041179533492,-0.03420479718733438
0607,Swietenia macrophylla King,0608,Swietenia mahagoni (L.) Jacq.,0.03680206878950995,0.07084689292776884,0.02812049764059408,-0.03404482413825889
0399,Lovoa trichilioides Harms,0625,Terminalia superba Engl.& Diels,0.33149801780296856,0.3025441823946234,0.36271194838005,-0.03121393057708144
0033,Anacardium excelsum (Bertero & Balb. ex Kunth) Skeels,0095,Brosimum alicastrum Swartz,0.41070989898706445,0.07482690115830566,0.4413660741827014,-0.03065617519563696
0380,Libidibia paraguariensis (D.Parodi) G.P.Lewis,0399,Lovoa trichilioides Harms,0.5740715315072336,0.6037041179533492,0.3025441823946234,-0.02963258644611566
0157,Ceriops tagal (Perr.) C.B. Robinson,0313,Grevillea robusta A.Cunn. ex R.Br.,0.30132244072914055,0.33088565378713025,0.2838740990600396,-0.0295632130579897
0033,Anacardium excelsum (Bertero & Balb. ex Kunth) Skeels,0045,Anopyxis klaineana (Pierre) Engl.,0.39750876799080226,0.07482690115830566,0.42664489754293794,-0.02913612955213568
0071,Baikiaea plurijuga Harms,0313,Grevillea robusta A.Cunn. ex R.Br.,0.5495500308236863,0.5781517144448926,0.2838740990600396,-0.028601683621206297
0096,Brosimum guianense (Aubl.) Huber ex Ducke,0114,Cantleya corniculata (Becc.) R.A.Howard,0.552193066924844,0.468233813156223,0.5805310376179519,-0.02833797069310784
0114,Cantleya corniculata (Becc.) R.A.Howard,0195,Ctenolophon parvifolius Oliv.,0.5538601222531521,0.5805310376179519,0.23093942479410615,-0.02667091536479982
0207,Dalbergia nigra (Vell.) Allemão ex Benth.,0399,Lovoa trichilioides Harms,0.39535086668437736,0.4194156315959103,0.3025441823946234,-0.02406476491153292
0301,Gilbertiodendron dewevrei (De Wild.) J.Léonard,0353,Intsia Thouars,0.46310142245985664,0.15292725453998418,0.48641128958703317,-0.02330986712717653
0035,Anacardium giganteum Hancock ex Engl.,0147,Ceiba pentandra (L.) Gaertn.,0.18350967962068315,0.20568448529299813,0.09920852062625649,-0.022174805672314973
0045,Anopyxis klaineana (Pierre) Engl.,0095,Brosimum alicastrum Swartz,0.4193202459473425,0.42664489754293794,0.4413660741827014,-0.02204582823535889
0380,Libidibia paraguariensis (D.Parodi) G.P.Lewis,0426,Microberlinia brazzavillensis A. Chev.,0.583412455958018,0.6037041179533492,0.23957417592531832,-0.020291661995331167
0091,Brachystegia Benth.,0093,Brachystegia laurentii (De Wild.) Louis ex J.Léonard,0.3515489551948223,0.36962746064415636,0.3343633761708376,-0.018078505449334037
0158,"Chlorocardium rodiei (R.H.Schomb.) Rohwer, H.G.Richt. & van der Werff",0678,Albizia ferruginea (Guill. & Perr.) Benth.,0.3399095380387819,0.10003326503781798,0.35777892083270585,-0.01786938279392397
0095,Brosimum alicastrum Swartz,0181,Cotylelobium Pierre,0.4235686898850097,0.4413660741827014,0.2627628502619556,-0.017797384297691732
0092,Brachystegia cynometroides Harms,0478,Peltogyne Vogel,0.163769042829573,0.05008607091450365,0.1811470023936011,-0.0173779595640281
0035,Anacardium giganteum Hancock ex Engl.,0045,Anopyxis klaineana (Pierre) Engl.,0.4094846686377261,0.20568448529299813,0.42664489754293794,-0.01716022890521185
0091,Brachystegia Benth.,0096,Brosimum guianense (Aubl.) Huber ex Ducke,0.4547448692975966,0.36962746064415636,0.468233813156223,-0.013488943858626368
0606,Swietenia humilis Zucc.,0621,Tectona grandis L.,0.528107794535694,0.03956854200666897,0.5414864270518914,-0.01337863251619742
0006,Acer platanoides L.,0080,Betula papyrifera Marshall,0.3789810185269109,0.18973256215443007,0.3923039267660832,-0.013322908239172315
0092,Brachystegia cynometroides Harms,0301,Gilbertiodendron dewevrei (De Wild.) J.Léonard,0.13965913172075015,0.05008607091450365,0.15292725453998418,-0.013268122819234035
0324,Guibourtia pellegriniana J.Léonard,0326,Guibourtia ehie (A. Chev.) J. Léonard,0.2858391749750239,0.20301559578579392,0.2984188053844587,-0.012579630409434772
0071,Baikiaea plurijuga Harms,0371,Khaya grandifoliola C.DC.,0.5656088856333175,0.5781517144448926,0.048818241280783575,-0.01254282881157509
0366,Juglans regia L.,0418,Mansonia altissima (A. Chev.) A. Chev.,0.004599543295914638,0.0161593253050704,0.012409313496156668,-0.011559782009155764
0045,Anopyxis klaineana (Pierre) Engl.,0236,Dipterocarpus C.F.Gaertn.,0.415131323518944,0.42664489754293794,0.24925766087492005,-0.011513574023993944
0009,Leptolobium Vogel,0114,Cantleya corniculata (Becc.) R.A.Howard,0.5692348730149532,0.16101899818656135,0.5805310376179519,-0.011296164602998648
0214,Daniellia thurifera Benn.,0621,Tectona grandis L.,0.5304573151750639,0.4049723941201597,0.5414864270518914,-0.011029111876827535
0041,Aniba rosodora Ducke,0071,Baikiaea plurijuga Harms,0.5678360779455924,0.0656528117264906,0.5781517144448926,-0.010315636499300118
0323,Guibourtia demeusei (Harms) J.Léonard,0325,Guibourtia tessmannii (Harms) J.Léonard,0.34604209882393067,0.35528177474147954,0.19769310265299028,-0.009239675917548873
0035,Anacardium giganteum Hancock ex Engl.,0070,Bagassa guianensis Aubl.,0.4437418688200253,0.20568448529299813,0.4528924582382436,-0.00915058941821828
0380,Libidibia paraguariensis (D.Parodi) G.P.Lewis,0430,Milicia excelsa (Welw.) C.C. Berg,0.5948143351852921,0.6037041179533492,0.2228508772324565,-0.008889782768057075
0093,Brachystegia laurentii (De Wild.) Louis ex J.Léonard,0302,Gilbertiodendron preussii (Harms) J.Léonard,0.3256356295399795,0.3343633761708376,0.1175198759908919,-0.008727746630858124
