species_id,species_name,rank,neighbor_id,neighbor_name,distance
0066,Aucoumea klaineana Pierre,2,0648,Triplochiton scleroxylon K. Schum.,0.16998581225981776
0066,Aucoumea klaineana Pierre,3,0080,Betula papyrifera Marshall,0.2653209495379223
0066,Aucoumea klaineana Pierre,4,0366,Juglans regia L.,0.36425061327300673
0066,Aucoumea klaineana Pierre,5,0295,Fraxinus nigra Marshall,0.36765882398275573
0070,Bagassa guianensis Aubl.,1,0035,Anacardium giganteum Hancock ex Engl.,0.4437418688200253
0070,Bagassa guianensis Aubl.,2,0236,Dipterocarpus C.F.Gaertn.,0.5065485907437965
0070,Bagassa guianensis Aubl.,3,0243,Dracontomelon dao (Blanco) Merr. & Rolfe,0.5296040478457902
0070,Bagassa guianensis Aubl.,4,0115,Carapa guianensis Aubl.,0.5439523401891455
0070,Bagassa guianensis Aubl.,5,0034,Anacardium L.,0.5533269234501231
0071,Baikiaea plurijuga Harms,1,0367,Juglans nigra L.,0.44786214856458206
0071,Baikiaea plurijuga Harms,2,0648,Triplochiton scleroxylon K. Schum.,0.45011681048825375
0071,Baikiaea plurijuga Harms,3,0066,Aucoumea klaineana Pierre,0.46587497271794587
0071,Baikiaea plurijuga Harms,4,0195,Ctenolophon parvifolius Oliv.,0.4781968122386889
0071,Baikiaea plurijuga Harms,5,0425,Mezilaurus ita-uba (Meisn.) Taub. ex Mez,0.4819444068168066
0072,Baillonella toxisperma Pierre,1,0679,Aningeria Aubrév. & Pellegr.,0.35635014391727315
0072,Baillonella toxisperma Pierre,2,0554,Quercus robur L.,0.3822616990682283
0072,Baillonella toxisperma Pierre,3,0066,Aucoumea klaineana Pierre,0.4061394353557303
0072,Baillonella toxisperma Pierre,4,0552,Quercus alba L.,0.4154513816051054
0072,Baillonella toxisperma Pierre,5,0081,Betula pendula Roth,0.4695148472303128
0073,Balfourodendron riedelianum (Engl.) Engl.,1,0608,Swietenia mahagoni (L.) Jacq.,0.4062743024675016
0073,Balfourodendron riedelianum (Engl.) Engl.,2,0607,Swietenia macrophylla King,0.43224372261409416
0073,Balfourodendron riedelianum (Engl.) Engl.,3,0214,Daniellia thurifera Benn.,0.44518714021962835
0073,Balfourodendron riedelianum (Engl.) Engl.,4,0006,Acer platanoides L.,0.48639143447872424
0073,Balfourodendron riedelianum (Engl.) Engl.,5,0007,Acer pseudoplatanus L.,0.493194972075576
0080,Betula papyrifera Marshall,1,0081,Betula pendula Roth,0.19404399333679487
0080,Betula papyrifera Marshall,2,0418,Mansonia altissima (A. Chev.) A. Chev.,0.24979411544674182
0080,Betula papyrifera Marshall,3,0366,Juglans regia L.,0.254835188336298
0080,Betula papyrifera Marshall,4,0066,Aucoumea klaineana Pierre,0.2653209495379223
0080,Betula papyrifera Marshall,5,0041,Aniba rosodora Ducke,0.2879573705949716
0081,Betula pendula Roth,1,0080,Betula papyrifera Marshall,0.19404399333679487
0081,Betula pendula Roth,2,0007,Acer pseudoplatanus L.,0.4611414403601334
0081,Betula pendula Roth,3,0072,Baillonella toxisperma Pierre,0.4695148472303128
0081,Betula pendula Roth,4,0066,Aucoumea klaineana Pierre,0.47078639805313316
0081,Betula pendula Roth,5,0418,Mansonia altissima (A. Chev.) A. Chev.,0.4873940113208686
0085,Bobgunnia fistuloides (Harms) J.H. Kirkbr. & Wiersema,1,0270,Erythrophleum suaveolens (Guill. & Perr.) Brenan,0.45870785422222005
0085,Bobgunnia fistuloides (Harms) J.H. Kirkbr. & Wiersema,2,0269,Erythrophleum ivorense A. Chev,0.48678624143754134
0085,Bobgunnia fistuloides (Harms) J.H. Kirkbr. & Wiersema,3,0480,Peltogyne mexicana Martínez,0.5047881513966914
0085,Bobgunnia fistuloides (Harms) J.H. Kirkbr. & Wiersema,4,0399,Lovoa trichilioides Harms,0.5159688765206795
0085,Bobgunnia fistuloides (Harms) J.H. Kirkbr. & Wiersema,5,0245,Dryobalanops aromatica C.F.Gaertn.,0.533142914870905
0091,Brachystegia Benth.,1,0301,Gilbertiodendron dewevrei (De Wild.) J.Léonard,0.22621773087710398
0091,Brachystegia Benth.,2,0092,Brachystegia cynometroides Harms,0.24152665185257607
0091,Brachystegia Benth.,3,0302,Gilbertiodendron preussii (Harms) J.Léonard,0.2942240060984599
0091,Brachystegia Benth.,4,0354,Intsia bijuga (Colebr.) Kuntze,0.33106540798162953
0091,Brachystegia Benth.,5,0093,Brachystegia laurentii (De Wild.) Louis ex J.Léonard,0.3515489551948223
0092,Brachystegia cynometroides Harms,1,0093,Brachystegia laurentii (De Wild.) Louis ex J.Léonard,0.08822582755623629
0092,Brachystegia cynometroides Harms,2,0301,Gilbertiodendron dewevrei (De Wild.) J.Léonard,0.13965913172075015
0092,Brachystegia cynometroides Harms,3,0478,Peltogyne Vogel,0.163769042829573
0092,Brachystegia cynometroides Harms,4,0091,Brachystegia Benth.,0.24152665185257607
0092,Brachystegia cynometroides Harms,5,0302,Gilbertiodendron preussii (Harms) J.Léonard,0.2656345817713559
0093,Brachystegia laurentii (De Wild.) Louis ex J.Léonard,1,0092,Brachystegia cynometroides Harms,0.08822582755623629
0093,Brachystegia laurentii (De Wild.) Louis ex J.Léonard,2,0478,Peltogyne Vogel,0.20236580813800606
0093,Brachystegia laurentii (De Wild.) Louis ex J.Léonard,3,0301,Gilbertiodendron dewevrei (De Wild.) J.Léonard,0.26734040966485606
